url	first_seen	portal	title	company	status
https://jobs.lever.co/xero/836f9253-1e0f-444e-9563-8d49381170ca	2026-04-07	Lever — Partnerships & BD	VP, Partnerships	Xero	added
https://jobs.lever.co/sendoso/f8f0fb7d-6684-4fcf-b7e3-3e0973c2c3bd	2026-04-07	Lever — Partnerships & BD	Head of Partnerships/Alliances	Sendoso	added
https://jobs.lever.co/matchgroup/c7e9b34d-6b41-40b1-9def-20e271d11a3b	2026-04-07	Lever — Partnerships & BD	VP, Business Development	Match Group	added
https://jobs.lever.co/cognite/d586d093-65c5-4c3a-a78b-5c0279399b06	2026-04-07	Lever — Partnerships & BD	Director, Cloud Partner Business Development	Cognite	added
https://job-boards.greenhouse.io/gitlab/jobs/8422081002	2026-04-07	Greenhouse — Product Leadership	Director of Product Management, AI Agents and Ecosystem	GitLab	added
https://job-boards.greenhouse.io/commerceiq/jobs/7683923003	2026-04-07	Greenhouse — Product Leadership	Director of Product Management - AI	CommerceIQ	added
https://jobs.ashbyhq.com/Jasper%20AI/1ba3b0f5-c4e4-46b3-9a72-f42c1e7aa7fc	2026-04-07	Ashby — GTM & Growth	Head of GTM Strategy and Operations	Jasper	added
https://jobs.ashbyhq.com/weave-grid/8a8dd4df-9d01-4eb4-9152-763d1558ddbb	2026-04-07	Ashby — GTM & Growth	Head of Go-to-Market (GTM)	WeaveGrid	added
https://jobs.ashbyhq.com/socure/2faa24b8-6ed1-491a-a31b-5a10dce78af2/application	2026-04-07	Ashby — GTM & Growth	Head of Go-to-Market (GTM), Fintech & Payments	Socure	added
https://jobs.ashbyhq.com/ironcladhq/a3b050b3-cbf1-446d-83f1-aafb0c65d080	2026-04-07	Ashby — GTM & Growth	Vice President, GTM Operations	Ironclad	added
https://job-boards.greenhouse.io/apolloio/jobs/5532738004	2026-04-07	Greenhouse — GTM & Growth	Director, Head of GTM Strategy and Operations	Apollo.io	added
https://job-boards.greenhouse.io/align/jobs/8317696002	2026-04-07	Greenhouse — GTM & Growth	Vice President of GTM Operations	A-LIGN	added
https://jobs.ashbyhq.com/glia/e4e7a847-8c0d-4634-981b-a23488fe2df4	2026-04-07	Ashby — Product Leadership	Head of AI - Product Leader	Glia	added
https://jobs.ashbyhq.com/pareto-ai/78fae5b5-2e6b-4136-a66a-f66817e148be	2026-04-07	Ashby — Product Leadership	Head of Product	Pareto.AI	added
https://jobs.ashbyhq.com/vClusterLabs/d3d0df8f-a412-4d49-bee1-95b28eea81c4	2026-09-05	ashby_websearch	Director of Strategic Partnerships & Alliances	vCluster Labs	added
https://jobs.ashbyhq.com/profound/816c2ab6-7398-4cd8-b1b5-695d4673b476	2026-09-05	ashby_websearch	VP, Strategic Partnerships	Profound	added
https://jobs.ashbyhq.com/grafton-sciences/13643106-2b12-4d74-94d0-349a183c4bcf	2026-09-05	ashby_websearch	VP Strategic Partnerships and Commercial Development	Grafton Sciences	added
https://jobs.ashbyhq.com/conveo/49874391-f6c3-49d5-bd80-d797cd248d56	2026-09-05	ashby_websearch	Head of Partnerships	Conveo.ai	added
https://jobs.ashbyhq.com/qualytics/0f0f024c-9de0-42eb-aa04-ce98a6eced9b	2026-09-05	ashby_websearch	Head of Partnerships	Qualytics	added
https://jobs.ashbyhq.com/andromeda/07c8f9e0-a2ab-43f6-a0c8-ecb6ba1add1f	2026-09-05	ashby_websearch	Head of Partnerships	Andromeda Cluster	added
https://jobs.ashbyhq.com/strala-ai/7b09064b-111f-4ebd-87d3-05647b7ce4f1	2026-09-05	ashby_websearch	VP, Sales & Strategic Partnerships	Strala Group	added
https://jobs.ashbyhq.com/Tools%20for%20Humanity/f271e41f-7e27-4d93-9e2b-688b9bf404b1	2026-09-05	ashby_websearch	Head of Business Development	Tools for Humanity	added
https://jobs.ashbyhq.com/vitl/0ff94d35-e372-48e9-9478-07a5f08188c4	2026-09-05	ashby_websearch	Head of Business Development	VITL	added
https://jobs.ashbyhq.com/architect/760daf97-0985-471a-b3e0-9b6c7acc3553	2026-09-05	ashby_websearch	Head of Business Development	Architect Labs	added
https://jobs.ashbyhq.com/endurance-energy/efae9c3d-9761-460e-9eaa-a92de6bf0678	2026-09-05	ashby_websearch	Head of Business Development	Endurance Energy	added
https://jobs.ashbyhq.com/trust-wallet/74105af8-da2c-4a4c-a8a6-8ea8a04381fc	2026-09-05	ashby_websearch	Business Development Director	Trust Wallet	added
https://jobs.ashbyhq.com/sentilink/5a8d182d-3ffc-4ae6-92ec-78055d053c2d/application	2026-09-05	ashby_websearch	Head of Business Development	SentiLink	added
https://jobs.ashbyhq.com/lemfi/9d8685ec-0981-46b2-82f6-e963bca7d2bf	2026-09-05	ashby_websearch	Head of Business Development - LATAM	LemFi	added
https://jobs.ashbyhq.com/meshy/4e567dd8-ce46-4e26-983f-fa1a6f585518	2026-09-05	ashby_websearch	Head of Business Development	Meshy	added
https://jobs.ashbyhq.com/lumai/1cc614a1-6b88-454d-b852-caeecd2edc08	2026-09-05	ashby_websearch	Head of Business Development	Lumai	added
https://job-boards.greenhouse.io/humaninterest/jobs/8080659	2026-09-05	greenhouse_websearch	Head of Strategic Partnerships	Human Interest	added
https://job-boards.greenhouse.io/gitlab/jobs/8615811002	2026-09-05	greenhouse_websearch	Director, Strategic Partnerships	GitLab	added
https://job-boards.greenhouse.io/cresta/jobs/5168505008	2026-09-05	greenhouse_websearch	VP of Partnerships, EMEA	Cresta	added
https://job-boards.greenhouse.io/6sense/jobs/8116166	2026-09-05	greenhouse_websearch	VP Partnerships & Alliances	6sense	added
https://job-boards.greenhouse.io/airship/jobs/4716138101	2026-09-05	greenhouse_websearch	Strategic Partnerships & Alliances Director	Airship	added
https://job-boards.greenhouse.io/impiricus/jobs/4906587008	2026-09-05	greenhouse_websearch	VP, Strategic Partnerships (Pharma/MarTech)	Impiricus	added
https://job-boards.greenhouse.io/jobsatphamily/jobs/4902825008	2026-09-05	greenhouse_websearch	VP of Business Development (Central)	Phamily	added
https://job-boards.greenhouse.io/higharc/jobs/5247270004	2026-09-05	greenhouse_websearch	Head of Business Development	Higharc	added
https://job-boards.greenhouse.io/precisionaq/jobs/6118354004	2026-09-05	greenhouse_websearch	Vice President, Business Development	Precision AQ	added
